,source,file,SI-SDR,SI-SIR,SI-SAR,SD-SDR,SNR,SRR,SI-SDRi,SD-SDRi,SNRi,MIX-SI-SDR,MIX-SD-SDR,MIX-SNR
0,drums,Tom McKenzie - Directions_drums.json,9.26546485592408,15.705788022685761,10.38794950695776,8.786211818129225,9.770128596372214,18.672263175316125,7.516362267380227,7.037114874488317,8.013015856636477,1.7491025885438516,1.7490969436409083,1.7571127397357351
1,drums,Speak Softly - Like Horses_drums.json,-7.672859516478228,0.4447178451920852,-6.932622020700448,-11.010773401157948,0.08033866982515016,-8.21868483546768,2.9860143493544506,-0.3491171839321128,11.525198047531633,-10.658873865832678,-10.661656217225834,-11.444859377706482
2,drums,The Sunshine Garcia Band - For I Am The Moon_drums.json,-1.6202176013994467,9.98227007789784,-1.3083316181647218,-6.169010756527287,2.256117644431741,-4.258700544184762,2.787832977760724,-1.7589257005174583,6.976152779760722,-4.40805057916017,-4.410085056009828,-4.720035135328981
3,drums,Forkupines - Semantics_drums.json,5.765940634885395,12.265717157000513,6.868718271018697,4.866667317297056,6.777942770575211,12.187049213176191,9.626090254313404,8.726887390370663,10.60147971383693,-3.8601496194280074,-3.8602200730736094,-3.8235369432617197
4,drums,Buitraker - Revo X_drums.json,5.283317328820075,13.790544548088146,5.944737210098175,-1.1643056647768013,4.885984690020814,-0.04841127631945036,7.680367882397848,1.2337215386776148,7.454255052240284,-2.397050553577772,-2.398027203454416,-2.568270362219469
5,drums,Al James - Schoolboy Facination_drums.json,-1.2544110542828912,4.938074337239508,-0.05845635957385262,-2.304340103738854,1.7927669968293327,4.402621048247281,7.359790993601417,6.310211910857769,10.57583686809464,-8.614202047884309,-8.614552014596622,-8.783069871265308
6,drums,Speak Softly - Broken Man_drums.json,-5.044426203627416,0.9130280781401685,-3.752105783658607,-7.236977408429272,0.5227063976275397,-3.1838628559334463,2.3195404889528812,0.12724530033374393,7.9736083347214635,-7.363966692580297,-7.364222708763016,-7.450901937093923
7,drums,Secretariat - Over The Top_drums.json,-0.7086210132898229,4.35936067143702,0.911858336362863,-2.620177139179523,2.5154813632396626,1.9059986424877646,4.91826205475303,3.0068267583048964,8.109050609171176,-5.6268830680428525,-5.627003897484419,-5.593569245931512
8,drums,AM Contra - Heart Peripheral_drums.json,-0.13341765241521023,4.186711587218348,1.881780348468743,-1.56322239974869,2.6974367904211167,3.9794398564168554,2.2929500060038484,0.8633083756858786,5.088240800572149,-2.4263676584190588,-2.4265307754345686,-2.390804010151032
9,drums,Skelpolu - Resurrection_drums.json,-0.8359735053159216,3.1635106639817776,1.3692298261380684,-2.475068771294706,2.362238539348603,2.5536037292661997,5.088450332577699,3.453128962089623,7.797875972837737,-5.92442383789362,-5.928197733384329,-5.435637433489134
10,drums,Zeno - Signs_drums.json,4.044827793703153,12.261603084917617,4.767165379068148,2.1918668581818754,5.476545716941281,7.252452140400179,11.395380607010914,9.542686622694806,12.701749290638913,-7.350552813307762,-7.35081976451293,-7.225203573697632
11,drums,Punkdisco - Oral Hygiene_drums.json,2.6193654124054806,9.954847007835156,3.542529715075883,0.1083379444573418,4.500953965209709,3.781883555794222,4.3595701286834245,1.864615216827854,5.635031357995819,-1.7402047162779435,-1.7562772723705122,-1.1340773927861107
12,drums,Bobby Nobody - Stitch Up_drums.json,-1.2578027071972508,4.2423233646473335,0.17992576405461475,-3.8989977091031243,2.3671028479611964,-0.4688876322770904,3.934604879415346,1.2939537834641035,7.6887054615680395,-5.192407586612598,-5.192951492567228,-5.321602613606842
13,drums,Georgia Wonder - Siren_drums.json,2.1043423203204106,9.687202858119313,2.9393305147123314,0.2855772762958406,4.238581168000472,5.051621800489863,6.817648161763936,5.004955583079543,8.482790456858076,-4.713305841443526,-4.719378306783701,-4.244209288857604
14,drums,PR - Happy Daze_drums.json,2.8694453952161116,9.539957366319937,3.931455545560473,-0.14814309471455234,4.563821799431379,2.8758479270509403,-3.761970837388141,-6.778457103935732,-2.0017352589650677,6.631416232604253,6.6303140092211805,6.565557058396446
15,drums,The Mountaineering Club - Mallory_drums.json,-6.905938245347431,1.8658889554958624,-6.287307361348727,-13.449640815338956,0.7839277185185131,-12.342919464041373,-2.998496230082031,-9.542106304678882,4.644728318777072,-3.9074420152654,-3.9075345106600743,-3.860800600258559
16,drums,Moosmusic - Big Dummy Shake_drums.json,1.994452261313375,8.570928571591441,3.073933925743707,-0.901880708635447,4.075203075331515,2.2311968357121152,4.918978260924364,2.0233150996651474,7.136916381527589,-2.9245259996109887,-2.925195808300594,-3.0617133061960744
17,drums,Ben Carrigan - We'll Talk About It All Tonight_drums.json,2.2608853982399753,7.385035709061073,3.871078549437773,0.9162574461939723,4.233225968295753,6.6943670733109295,5.530262034020733,4.186627180785273,7.3351158278193935,-3.269376635780758,-3.270369734591301,-3.10188985952364
18,drums,Raft Monk - Tiring_drums.json,0.19872983531803703,5.795513133865867,1.60837500574019,-2.693050067033837,3.0816770028316154,0.6273253227319122,3.9907767091156696,1.0995136073945082,7.001584493861513,-3.7920468737976325,-3.7925636744283455,-3.919907491029898
19,drums,Detsky Sad - Walkie Talkie_drums.json,3.3559054328272953,10.594652965324217,4.303371826055949,1.272866938490775,4.980133708224329,5.48980840205223,4.225829865716686,2.142899443502831,5.8951890278758405,-0.8699244328893909,-0.8700325050120556,-0.915055319651512
