,source,file,SI-SDR,SI-SIR,SI-SAR,SD-SDR,SNR,SRR,SI-SDRi,SD-SDRi,SNRi,MIX-SI-SDR,MIX-SD-SDR,MIX-SNR
0,drums,Secretariat - Borderline_drums.json,-8.310132695450939,-5.604112878906875,-4.97142186679366,-11.680222247459913,-0.04070866132537889,-9.002021292570308,1.8827313211691799,-1.4872280556610367,10.001025883218635,-10.192864016620119,-10.192994191798874,-10.041734544544013
1,drums,James Elder & Mark M Thompson - The English Actor_drums.json,-6.983883058074472,-3.790917542172064,-4.140807285139537,-11.910093087383729,0.6468117190349315,-10.219167987543699,3.457654109963385,-1.4665518659799135,10.502929280946484,-10.441537168037858,-10.443541221403816,-9.856117561911553
2,drums,Juliet's Rescue - Heartbeats_drums.json,3.2635309169514173,7.304589297076759,5.445025588367278,-7.250522131069268,2.849872870566575,-6.8440145231208565,3.617225342981504,-6.8968268986317085,3.2006544600084155,-0.3536944260300867,-0.3536952324375589,-0.35078158944184124
3,drums,PR - Oh No_drums.json,3.68136621400214,9.969350748050344,4.8506780105093386,-11.337706749684402,2.09002355231457,-11.132612301412905,-1.1007730859263674,-16.11511832927623,-2.520564089942524,4.782139299928508,4.777411579591828,4.610587642257094
4,drums,The Long Wait - Dark Horses_drums.json,-6.274887670585283,-3.399467108378485,-3.1253557596895813,-12.209835841237627,0.8920969480819196,-10.92865544836664,0.05110105885554628,-5.8772376538643005,7.957290808162686,-6.32598872944083,-6.332598187373327,-7.0651938600807656
5,drums,The Easton Ellises (Baumi) - SDRNR_drums.json,-2.2668821676223123,1.9878524043401509,-0.22143557851299223,-6.622158899261704,2.026248526289933,-4.637204063957736,0.5218411913855885,-3.8333870702769453,4.78770071464217,-2.788723359007901,-2.788771828984759,-2.761452188352237
6,drums,Motor Tapes - Shore_drums.json,-1.356140251177136,1.9559329024574446,1.3721917809731023,-13.244318730278085,1.4733919046105615,-12.953044180163356,6.441898899716848,-5.445002267621339,9.643117055921444,-7.798039150893985,-7.799316462656746,-8.169725151310882
7,drums,Tom McKenzie - Directions_drums.json,4.118525329893497,8.45643122545951,6.12173659562017,-8.606501083491121,2.5684401275080946,-8.365034634133702,2.3694227413496463,-10.35559802713203,0.8113273877723597,1.7491025885438516,1.7490969436409083,1.7571127397357351
8,drums,Enda Reilly - Cur An Long Ag Seol_drums.json,-1.5463052219738151,1.985268603173866,1.00621542319637,-9.60142684473514,1.9345308903901954,-8.86199380128345,4.625681422868535,-3.427639522504148,7.755666577562725,-6.171986644842349,-6.173787322230991,-5.82113568717253
9,drums,Al James - Schoolboy Facination_drums.json,-6.300761221446794,-2.2990479137108037,-4.09657681824179,-9.097921706532587,0.3274982705903262,-5.830127237747966,2.313440826437513,-0.48336969193596513,9.110568141855634,-8.614202047884307,-8.614552014596622,-8.783069871265308
10,drums,Raft Monk - Tiring_drums.json,-2.3316273160405885,-0.16115910323180843,1.721351756132787,-10.263132627655605,1.7510324020032273,-9.500570707005128,1.4604195577570442,-6.470568953227259,5.670939893033125,-3.7920468737976325,-3.7925636744283455,-3.919907491029898
11,drums,The Mountaineering Club - Mallory_drums.json,-2.5027821936579038,-0.3623053874703953,1.6027521043547734,-10.632024824856867,1.6789874778592015,-9.900269561763785,1.4046598216074964,-6.724490314196792,5.539788078117761,-3.9074420152654,-3.9075345106600743,-3.860800600258559
12,drums,Moosmusic - Big Dummy Shake_drums.json,-0.8358323083530997,2.6104595536609665,1.7784194044715513,-10.998834335491967,1.8152114094355771,-10.553886188602487,2.088693691257889,-8.073638527191374,4.8769247156316515,-2.9245259996109887,-2.925195808300594,-3.0617133061960744
13,drums,Girls Under Glass - We Feel Alright_drums.json,-1.4004646326067807,1.4730198911044852,1.7539177792238805,-9.515247273208047,1.9639722551974752,-8.784339456958794,1.946643091909863,-6.167802839371991,5.217731194148968,-3.3471077245166434,-3.3474444338360554,-3.253758938951493
14,drums,Speak Softly - Broken Man_drums.json,-8.170278918326417,-6.710205166521368,-2.7211700317811403,-12.407618222757684,0.24846676996977304,-10.352939550671627,-0.806312225746121,-5.043395513994669,7.699368707063696,-7.363966692580297,-7.364222708763016,-7.450901937093923
15,drums,Zeno - Signs_drums.json,-2.2708830561360274,0.9724203835000742,0.5192534410534976,-10.572072636257504,1.7243673589621253,-9.875172604245037,5.079669757171734,-3.221252871744574,8.949570932659757,-7.350552813307762,-7.35081976451293,-7.225203573697632
16,drums,Georgia Wonder - Siren_drums.json,-2.169436702655371,2.3900059626942802,-0.25582310086465887,-7.697666622363136,2.0622835624197164,-6.248386855943169,2.5438691387881534,-2.9782883155794364,6.306492851277321,-4.713305841443525,-4.7193783067837,-4.244209288857604
17,drums,We Fell From The Sky - Not You_drums.json,2.9263653215161782,7.341616421166706,4.876921287648136,-8.719565127592487,2.4887343581119517,-8.40975858798889,4.160427988965035,-7.4854377464959425,3.7520241795369946,-1.234062667448856,-1.2341273810965445,-1.263289821425043
18,drums,Timboz - Pony_drums.json,-4.93773695122875,-3.154746519180856,-0.2010403445611033,-12.955691623549264,1.1593278476981104,-12.20922571212163,1.3419179009157474,-6.675804187804301,7.391439789470273,-6.279654852144497,-6.279887435744961,-6.232111941772163
19,drums,Detsky Sad - Walkie Talkie_drums.json,-0.5338860660796823,6.015850771975604,0.5579746914409589,-10.197457201481905,1.9626933133860338,-9.70065810007098,0.33603836680970867,-9.32742469646985,2.877748633037546,-0.8699244328893909,-0.8700325050120556,-0.915055319651512
20,drums,Buitraker - Revo X_drums.json,-1.2420210265354292,0.8513081016072864,2.940083276738336,-10.274053467078325,1.882407446155829,-9.693650980119195,1.1550295270423425,-7.876026263623909,4.450677808375298,-2.397050553577772,-2.398027203454416,-2.568270362219469
21,drums,Bobby Nobody - Stitch Up_drums.json,-6.78510648908267,-3.5305714637124934,-3.9963820267644037,-13.399168229786582,0.8138528073005334,-12.330818468450964,-1.592698902470071,-8.206216737219354,6.135455420907376,-5.192407586612599,-5.192951492567229,-5.321602613606842
22,drums,The Sunshine Garcia Band - For I Am The Moon_drums.json,-1.8391946094427765,2.1666234484305087,0.3628841909238115,-8.522381296147948,2.0091909777984434,-7.464165279316002,2.5688559697173936,-4.11229624013812,6.729226113127424,-4.40805057916017,-4.410085056009828,-4.720035135328981
23,drums,Carlos Gonzalez - A Place For Us_drums.json,-2.4019095451835497,2.3143368741764188,-0.6132415887707919,-11.01440994500025,1.6546902070799527,-10.368696343250122,3.803311442590807,-4.809121514261061,7.922859687889961,-6.205220987774356,-6.20528843073919,-6.268169480810009
24,drums,AM Contra - Heart Peripheral_drums.json,-1.4955103786793416,2.122774902965891,0.9898050576731766,-8.140106388711313,2.1236629517982015,-7.079452140780263,0.9308572797397171,-5.713575613276744,4.514466961949235,-2.4263676584190588,-2.4265307754345686,-2.390804010151032
25,drums,Lyndsey Ollard - Catching Up_drums.json,-2.9376138459112275,1.35997371076303,-0.915177718090218,-12.959011512606468,1.3933957692382721,-12.50166279379648,1.6351434276296937,-8.385958518900699,5.9878962920041605,-4.572757273540921,-4.57305299370577,-4.594500522765889
26,drums,Secretariat - Over The Top_drums.json,-3.455114973217249,-0.7842911700018322,-0.07471107032004728,-8.315602571153892,1.6164358931259004,-6.595751021126052,2.1717680948256035,-2.6885986736694725,7.210005139057413,-5.6268830680428525,-5.627003897484419,-5.593569245931512
27,drums,Nerve 9 - Pray For The Rain_drums.json,0.6393259041560866,5.134820726485364,2.5456071087823946,-10.517039969950982,1.9985492292339122,-10.16687057591975,7.667288265156541,-3.488822817598136,9.137179968236154,-7.027962361000455,-7.0282171523528465,-7.13863073900224
28,drums,BKS - Bulldozer_drums.json,-0.4479826159434557,2.926075342283778,2.2280455118727556,-10.910578155217962,1.8597289079576287,-10.501418952751948,2.371256158070855,-8.091224803615042,4.737925973214141,-2.8192387740143103,-2.81935335160292,-2.8781970652565128
29,drums,Triviul feat. The Fiend - Widow_drums.json,-6.195639323890064,-2.9661449198354983,-3.3923197090977646,-10.702445168625424,0.7910578375728248,-8.803036872620133,2.608611705275143,-1.8981533994994733,9.668811967030244,-8.804251029165208,-8.80429176912595,-8.877754129457418
30,drums,Forkupines - Semantics_drums.json,-2.5635720267671718,1.2736075253333992,-0.2475848685031533,-9.910732057025328,1.7466958846023612,-9.026533436212667,1.2965775926608356,-6.0505119839517185,5.57023282786408,-3.8601496194280074,-3.8602200730736094,-3.8235369432617197
31,drums,Ben Carrigan - We'll Talk About It All Tonight_drums.json,-2.38111105625763,0.48081722361340995,0.7865476940376184,-10.265051461817762,1.7378292723984874,-9.491225155242425,0.8882655795231283,-6.994681727226462,4.839719131922127,-3.269376635780758,-3.270369734591301,-3.10188985952364
32,drums,Arise - Run Run Run_drums.json,-6.112395792006213,-4.51558955644697,-0.97878811795724,-11.119827890830617,0.8349695913094224,-9.423324247588916,2.2519611330260934,-2.7541134348486365,8.82492744487578,-8.364356925032306,-8.36571445598198,-7.989957853566358
33,drums,Mu - Too Bright_drums.json,2.654642122782077,7.642611933289288,4.311103666992145,-8.394362060131966,2.5397394150185,-8.03252695676304,3.0340355339319043,-8.014690611769257,2.987406373362087,-0.3793934111498275,-0.3796714483627083,-0.4476669583435869
34,drums,PR - Happy Daze_drums.json,2.921746588184363,9.296950276300354,4.059261968267252,-9.451319441539958,2.328600143827916,-9.192268833615184,-3.70966964441989,-16.08163345076114,-4.23695691456853,6.631416232604253,6.6303140092211805,6.565557058396446
35,drums,Speak Softly - Like Horses_drums.json,-11.492216772080084,-9.362283063575553,-7.375955934814332,-14.304943712333614,-1.0787262037650749,-11.087427117868087,-0.8333429062474043,-3.6432874951077787,10.366133173941408,-10.658873865832678,-10.661656217225836,-11.444859377706482
36,drums,Signe Jakobsen - What Have You Done To Me_drums.json,-6.739245800276659,-4.661966743192371,-2.531346482396409,-10.167607989990106,0.4162835996639307,-7.537661941501282,3.3522656437831655,-0.07596495019284433,10.659781583898873,-10.091511444059824,-10.091643039797262,-10.243497984234942
37,drums,Little Chicago's Finest - My Own_drums.json,-0.7118165762111376,4.9367769220243005,0.6701849049496836,-11.282534737952354,1.7729784844061738,-10.869808037302885,-0.6589022733546194,-11.228758849383851,1.938441348544182,-0.052914302856518214,-0.05377588856850013,-0.16546286413800826
38,drums,The Doppler Shift - Atrophy_drums.json,-2.237513929525731,0.5338411469665286,1.02566510191553,-9.646531021300056,1.8266033116839533,-8.776187415626792,0.06523751092371377,-7.343759809267949,4.153410133095862,-2.3027514404494447,-2.302771212032109,-2.3268068214119095
39,drums,Side Effects Project - Sing With Me_drums.json,-2.528682857938436,3.2033120506135573,-1.178552523409238,-9.879732202724483,1.7546664259253713,-8.99555491724619,-1.798350027350979,-9.149289999576723,2.450086845715189,-0.7303328305874572,-0.7304422031477575,-0.6954204197898184
40,drums,M.E.R.C. Music - Knockout_drums.json,-1.7095977426405624,2.1016358150745305,0.6313532645390356,-7.897774111816885,2.105813898184171,-6.702444497539881,2.326809353792953,-3.8613053475520354,6.1224501533392965,-4.036407096433515,-4.036468764264849,-4.016636255155126
41,drums,BKS - Too Much_drums.json,-1.7154882852443287,2.3997371987765908,0.49677707556201034,-8.408877389759652,2.050641496570374,-7.335732120432518,1.756708603307134,-4.93588681817446,5.696197694265044,-3.472196888551463,-3.4729905715851936,-3.6455561976946704
42,drums,Punkdisco - Oral Hygiene_drums.json,-1.8257189577479362,0.25149152012108694,2.3835670435926364,-10.304414281616111,1.809751449571222,-9.63948702874638,-0.08551424146999209,-8.5481370092456,2.9438288423573327,-1.7402047162779442,-1.756277272370513,-1.1340773927861107
43,drums,Louis Cressy Band - Good Time_drums.json,-3.6569649263208914,0.36906849187550317,-1.467262280916608,-11.209563297630535,1.4701180936767337,-10.370244720553604,0.6640496671975342,-6.887948591475614,5.764641361402525,-4.321014593518425,-4.32161470615492,-4.294523267725792
44,drums,The Easton Ellises - Falcon 69_drums.json,-0.4372603150253131,3.006902311724353,2.178925363566626,-9.627860537654021,2.0616733966465253,-9.070277275625878,3.273987046515326,-5.915741755769459,5.587817392371772,-3.7112473615406394,-3.712118781884562,-3.526143995725246
45,drums,Hollow Ground - Ill Fate_drums.json,-4.5377113054907685,-2.494425512556815,-0.28041996800083,-12.416777279521682,1.2290707709833883,-11.619859067258734,0.4918797916234128,-7.3843417571852505,6.666471627726349,-5.0295910971141815,-5.0324355223364305,-5.4374008567429595
46,drums,Cristina Vane - So Easy_drums.json,6.699320664506739,12.966612913208596,7.8702718110701015,-7.037149723703273,3.0658321297234634,-6.848421665079382,6.153879907295855,-7.582554636103391,2.497237162644413,0.5454407572108837,0.5454049124001182,0.5685949670790502
47,drums,Sambasevam Shanmugam - Kaathaadi_drums.json,-4.838714924739091,-1.8509922807009662,-1.8055180185049726,-10.852876841022553,1.2249960030112772,-9.590284684694376,2.71690716527367,-3.295844952846339,9.162456487908905,-7.555622090012761,-7.557031888176214,-7.9374604848976285
48,drums,Skelpolu - Resurrection_drums.json,-2.0138521049181763,0.8940966160146109,1.1016563687222285,-4.892444965378958,2.043824235622678,-1.7402577258377954,3.910571732975444,1.0357527680053709,7.479461669111812,-5.92442383789362,-5.928197733384329,-5.435637433489134
